Mes,SuperFamily,Familia,Codigo Producto,Venta 2025,Venta 2024,Venta 2023,Venta 2022,Projection 2025,Projection 2026
1,Invierno,Super Economico 100 gr,1150AN0T10041,13.0,23.6,45.0,108.0,51.34124253557966,60.9520850261365
1,Invierno,Super Economico 100 gr,1150AN0T10425,12.0,18.0,62.0,154.0,59.79460498052383,70.98787771549178
1,Invierno,Super Economico 100 gr,1150AN0T10712,5.0,11.0,60.0,115.0,49.17467541540865,58.37994658924575
1,Invierno,Super Economico 100 gr,1150AN0T10718,20.0,20.4,76.0,146.0,73.18672557058285,86.88694116959239
1,Invierno,Super Economico 100 gr,1150AN0T10735,225.0,75.8,130.0,207.0,105.80878406228182,125.61569771528131
1,Invierno,Super Economico 100 gr,1150AN0T10740,172.0,34.2,85.0,140.0,76.36487214553837,90.66002204366686
1,Invierno,Super Economico 100 gr,1150AN0T10769,21.0,23.4,73.0,152.0,64.34947037725807,76.39539278979008
1,Invierno,Super Economico 100 gr,1150AN0T10772,20.0,44.6,71.0,150.0,66.6837147898252,79.16659693055425
1,Invierno,Super Economico 100 gr,1150AN0T10807,24.0,23.6,45.0,130.0,55.66224223502456,66.08195582924294
1,Invierno,Super Economico 100 gr,1150AN0T10811,42.0,80.9,144.0,281.0,92.1342596113451,109.38136570728864
1,Invierno,Super Economico 100 gr,1150AN0T10829,28.0,28.0,80.0,212.0,91.5584204887742,108.69773217161809
1,Invierno,Super Economico 100 gr,1150AN0T10875,189.0,22.0,50.0,161.0,61.11506365814333,72.55552013349495
1,Invierno,Super Economico 100 gr,1150AN0T11102,365.0,102.2,176.0,318.0,125.06078476555282,148.47158366264244
1,Invierno,Super Economico 100 gr,1150AN0T11302,330.0,31.0,95.0,246.0,83.2738384763077,98.86231482892484
1,Invierno,Super Economico 100 gr,1150AN0T12903,15.0,22.0,64.0,178.0,60.40243516545979,71.70949089203292
1,Invierno,Super Economico 100 gr,1150AN0T13202,25.0,27.6,77.0,145.0,62.050526447300655,73.66609721826242
1,Invierno,Super Economico 100 gr,1150AN0T13602,36.0,44.0,101.0,311.0,105.0652676473148,124.73299847573736
1,Invierno,Super Economico 100 gr,1150AN0T13916,15.0,21.0,45.0,122.0,56.92644076848483,67.58280646502541
1,Invierno,Super Economico 100 gr,1150AN0T14850,27.0,31.0,81.0,142.0,64.94185660105228,77.09867096729025
1,Invierno,Super Economico 100 gr,1150AN0T15032,28.0,35.2,90.0,176.0,67.36104279989902,79.97071760277977
1,Invierno,Super Economico 100 gr,1150AN0T16702,30.0,47.9,105.0,194.0,82.11774767083968,97.4898091864292
1,Invierno,Super Economico 100 gr,1150AN0T16902,10.0,21.0,48.0,111.0,55.775865663424575,66.21684903647295
1,Invierno,Super Economico 100 gr,1150AN0T17007,20.0,18.0,67.0,161.0,59.471384936628674,70.60415237842
1,Invierno,Super Economico 100 gr,1150AN0T18003,113.0,34.0,80.0,162.0,71.01464275000409,84.30825451875845
1,Invierno,Super Economico 100 gr,1150AN0T18902,454.0,91.0,177.0,439.0,179.75005744864723,213.39843455230408
1,Invierno,Super Económico 50g,1153AN0T50033,,16.0,27.0,,15.816822489313472,18.7776583035334
1,Invierno,Super Económico 50g,1153AN0T50041,,1.0,9.0,1.0,4.5890627392624,5.448114000746179
1,Invierno,Super Económico 50g,1153AN0T50425,,3.0,14.0,2.0,8.14062223182377,9.664508958775585
1,Invierno,Super Económico 50g,1153AN0T50712,,1.0,6.0,6.0,4.451170229068217,5.284408652166064
1,Invierno,Super Económico 50g,1153AN0T50718,,6.0,5.0,6.0,6.409243873825612,7.609024602003677
1,Invierno,Super Económico 50g,1153AN0T50735,9.0,36.0,24.0,,20.17367424140893,23.95009249727061
1,Invierno,Super Económico 50g,1153AN0T50740,2.0,21.0,22.0,4.0,14.436242677249377,17.138640353549246
1,Invierno,Super Económico 50g,1153AN0T50769,2.0,5.4,18.0,4.0,8.494178627961654,10.084249472534994
1,Invierno,Super Económico 50g,1153AN0T50772,1.0,9.0,12.0,11.0,9.134551445303437,10.84449711134104
1,Invierno,Super Económico 50g,1153AN0T50807,7.0,6.0,11.0,1.0,7.04906512112662,8.368617419415404
1,Invierno,Super Económico 50g,1153AN0T50811,10.0,20.0,19.0,7.0,15.74787623421644,18.695805629243285
1,Invierno,Super Económico 50g,1153AN0T50829,,12.0,13.0,6.0,8.384416189847084,9.953940015065225
1,Invierno,Super Económico 50g,1153AN0T50875,,1.0,5.0,,4.685035926357551,5.562052923357937
1,Invierno,Super Económico 50g,1153AN0T51102,8.0,46.0,19.5,6.0,20.962419399719654,24.88648709114886
1,Invierno,Super Económico 50g,1153AN0T51302,,11.0,17.0,1.0,7.9370928867771555,9.422879864271335
1,Invierno,Super Económico 50g,1153AN0T52903,,3.0,11.0,,5.802516828971207,6.8887210682511775
1,Invierno,Super Económico 50g,1153AN0T53202,3.0,11.0,12.0,4.0,10.564220990996724,12.541794165419658
1,Invierno,Super Económico 50g,1153AN0T53602,5.0,23.0,13.0,5.0,9.784852523379204,11.616531535244857
1,Invierno,Super Económico 50g,1153AN0T53916,2.0,19.0,19.0,6.0,7.245424055643135,8.601733835793485
1,Invierno,Super Económico 50g,1153AN0T54850,1.0,3.0,13.0,1.0,8.667923190806324,10.290518211745937
1,Invierno,Super Económico 50g,1153AN0T55032,,26.0,10.0,3.0,17.382178265037894,20.636041420614795
1,Invierno,Super Económico 50g,1153AN0T56702,7.0,33.0,34.5,13.0,16.841639625076695,19.994316454180748
1,Invierno,Super Económico 50g,1153AN0T56902,,4.0,6.0,1.0,4.489780131922588,5.330246149768496
1,Invierno,Super Económico 50g,1153AN0T57007,,1.0,8.0,,5.168211282077968,6.135676464782655
1,Invierno,Super Económico 50g,1153AN0T58003,,10.0,11.0,1.0,9.900682231942318,11.754044028052151
1,Invierno,Super Económico 50g,1153AN0T58902,6.0,41.0,21.0,15.0,23.33141272485571,27.69894497975521
1,Invierno,Extra,1155AN1010718,2.0,,,,20.02419876035844,23.77263589940972
1,Invierno,Extra,1155AN1010811,1.0,,,,15.814616209150428,18.77503901795606
1,Invierno,Extra,1155AN1011302,1.0,,,,19.95580407530213,23.69143804651404
1,Invierno,Extra,1155AN1013602,1.0,,,,21.65022724056824,25.70304936986647
1,Hilos Verano,Fresquita,1300ANV010003,10.0,20.0,35.0,5.0,21.95736228909026,25.88673802146102
1,Hilos Verano,Fresquita,1300ANV010022,3.0,,7.0,14.0,16.53979293475968,19.499668539152
1,Hilos Verano,Fresquita,1300ANV010026,7.0,13.0,,6.0,18.18204187863653,21.43580584091177
1,Hilos Verano,Fresquita,1300ANV010028,7.0,12.0,15.0,5.0,20.392286697839207,24.04158461546064
1,Hilos Verano,Fresquita,1300ANV010029,4.0,7.0,19.0,13.0,18.8519065794284,22.22554605610326
1,Hilos Verano,Fresquita,1300ANV010033,11.0,25.0,14.0,7.0,25.430163157250888,29.98101333063348
1,Hilos Verano,Fresquita,1300ANV010055,7.0,9.0,4.0,5.0,13.236773442375796,15.6055578006502
1,Hilos Verano,Fresquita,1300ANV010081,5.0,17.0,8.0,15.0,17.864087665818268,21.06095219038309
1,Hilos Verano,Fresquita,1300ANV010205,15.0,19.0,25.0,11.0,27.800928549915213,32.77603860836187
1,Hilos Verano,Fresquita,1300ANV010209,24.0,26.0,12.0,5.0,51.76788494138109,61.03199727539735
1,Hilos Verano,Fresquita,1300ANV010216,7.0,4.0,13.0,11.0,15.002499750453913,17.687269335624993
1,Hilos Verano,Fresquita,1300ANV010223,21.0,27.0,18.0,12.0,38.76263155688267,45.699391162025314
1,Hilos Verano,Fresquita,1300ANV010225,21.0,36.0,22.0,16.0,31.341641968386536,36.950379745802586
1,Hilos Verano,Fresquita,1300ANV010229,37.0,20.0,26.0,17.0,48.74886338666012,57.472707273290105
1,Hilos Verano,Fresquita,1300ANV010231,8.0,17.0,32.0,12.0,25.550553587347125,30.122948208018123
1,Hilos Verano,Fresquita,1300ANV010259,3.0,2.0,12.0,9.0,8.60019841661823,10.13924534342618
1,Hilos Verano,Fresquita,1300ANV010279,4.0,4.0,16.0,8.0,14.916065595513023,17.585367372374478
1,Hilos Verano,Fresquita,1300ANV010281,6.0,15.0,16.0,6.0,28.29483800672028,33.358335541221955
1,Hilos Verano,Fresquita,1300ANV010288,3.0,3.0,11.0,11.0,11.554394355133535,13.622108873095543
1,Hilos Verano,Fresquita,1300ANV010289,14.0,23.0,44.0,21.0,43.15533878834273,50.87819450864967
1,Hilos Verano,Fresquita,1300ANV010425,6.0,5.0,18.0,3.0,14.530198832384066,17.13044789357754
1,Hilos Verano,Fresquita,1300ANV010439,18.0,9.0,21.0,11.0,25.461032498301208,30.01740688893723
1,Hilos Verano,Fresquita,1300ANV010712,4.0,5.0,4.0,5.0,9.168194291944056,10.808886816215274
1,Hilos Verano,Fresquita,1300ANV010730,9.0,13.0,24.0,20.0,32.71841457923066,38.57353244615007
1,Hilos Verano,Fresquita,1300ANV010731,3.0,2.0,3.0,7.0,8.158766839598702,9.61881745968248
