Date,SuperFamily,Familia,Codigo Producto,Projection,Sales
2022-01-01,Invierno,Nako Melange,5614IM0D10096,,47
2022-01-01,Invierno,Nako Melange,5614IM0D10097,,35
2022-01-01,Invierno,Nako Melange,5614IM0D10098,,48
2022-01-01,Invierno,Nako Melange,5614IM0D10099,,39
2022-01-01,Hilos Verano,Perle Verano,1310ANV010022,,23
2022-01-01,Hilos Verano,Perle Verano,1310ANV010029,,12
2022-01-01,Hilos Verano,Perle Verano,1310ANV010032,,13
2022-01-01,Hilos Verano,Perle Verano,1310ANV010033,,6
2022-01-01,Hilos Verano,Perle Verano,1310ANV010081,,19
2022-01-01,Hilos Verano,Perle Verano,1310ANV010205,,23
2022-01-01,Hilos Verano,Perle Verano,1310ANV010209,,22
2022-01-01,Hilos Verano,Perle Verano,1310ANV010210,,12
2022-01-01,Hilos Verano,Perle Verano,1310ANV010216,,15
2022-01-01,Hilos Verano,Perle Verano,1310ANV010225,,44
2022-01-01,Hilos Verano,Perle Verano,1310ANV010229,,34
2022-01-01,Hilos Verano,Perle Verano,1310ANV010231,,36
2022-01-01,Hilos Verano,Perle Verano,1310ANV010234,,21
2022-01-01,Hilos Verano,Perle Verano,1310ANV010279,,15
2022-01-01,Hilos Verano,Perle Verano,1310ANV010288,,4
2022-01-01,Hilos Verano,Perle Verano,1310ANV010289,,70
2022-01-01,Hilos Verano,Perle Verano,1310ANV010425,,9
2022-01-01,Hilos Verano,Perle Verano,1310ANV010439,,12
2022-01-01,Hilos Verano,Perle Verano,1310ANV010712,,8
2022-01-01,Hilos Verano,Perle Verano,1310ANV010731,,13
2022-01-01,Hilos Verano,Perle Verano,1310ANV010903,,22
2022-01-01,Hilos Verano,Perle Verano,1310ANV011102,,130
2022-01-01,Hilos Verano,Perle Verano,1310ANV011302,,78
2022-01-01,Hilos Verano,Perle Verano,1310ANV013401,,33
2022-01-01,Hilos Verano,Perle Verano,1310ANV013602,,92
2022-01-01,Hilos Verano,Perle Verano,1310ANV014204,,36
2022-01-01,Hilos Verano,Perle Verano,1310ANV014850,,15
2022-01-01,Hilos Verano,Perle Verano,1310ANV016210,,26
2022-01-01,Hilos Verano,Perle Verano,1310ANV016213,,6
2022-01-01,Hilos Verano,Perle Verano,1310ANV016215,,34
2022-01-01,Hilos Verano,Perle Verano,1310ANV016402,,27
2022-01-01,Hilos Verano,Perle Verano,1310ANV017802,,30
2022-01-01,Hilos Verano,Perle Verano,1310ANV018102,,29
2022-01-01,Hilos Verano,Perle Verano,1310ANV018252,,14
2022-01-01,Hilos Verano,Perle Verano,1310ANV018254,,10
2022-01-01,Hilos Verano,Perle Verano,1310ANV018257,,30
2022-01-01,Hilos Verano,Perle Verano,1310ANV018259,,33
2022-01-01,Hilos Verano,Perle Verano,1310ANV018262,,23
2022-01-01,Hilos Verano,Perle Verano,1310ANV018902,,125
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T10033,,191
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T10041,,126
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T10425,,172
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T10712,,134
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T10718,,173
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T10735,,235
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T10740,,161
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T10769,,170
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T10772,,169
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T10807,,153
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T10811,,294
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T10829,,241
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T10875,,184
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T11102,,336
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T11302,,272
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T12903,,198
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T13202,,168
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T13602,,338
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T13916,,142
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T14850,,163
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T15032,,196
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T16702,,217
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T16902,,129
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T17007,,184
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T18003,,185
2022-01-01,Invierno,Super Economico 100 gr,1150AN0T18902,,469
2022-01-01,Invierno,Super Económico 50g,1153AN0T50033,,5
2022-01-01,Invierno,Super Económico 50g,1153AN0T50041,,2
2022-01-01,Invierno,Super Económico 50g,1153AN0T50425,,3
2022-01-01,Invierno,Super Económico 50g,1153AN0T50712,,11
2022-01-01,Invierno,Super Económico 50g,1153AN0T50718,,12
2022-01-01,Invierno,Super Económico 50g,1153AN0T50735,,5
2022-01-01,Invierno,Super Económico 50g,1153AN0T50740,,10
2022-01-01,Invierno,Super Económico 50g,1153AN0T50769,,11
2022-01-01,Invierno,Super Económico 50g,1153AN0T50772,,17
2022-01-01,Invierno,Super Económico 50g,1153AN0T50807,,7
2022-01-01,Invierno,Super Económico 50g,1153AN0T50811,,13
2022-01-01,Invierno,Super Económico 50g,1153AN0T50829,,12
2022-01-01,Invierno,Super Económico 50g,1153AN0T50875,,6
2022-01-01,Invierno,Super Económico 50g,1153AN0T51102,,18
2022-01-01,Invierno,Super Económico 50g,1153AN0T51302,,11
2022-01-01,Invierno,Super Económico 50g,1153AN0T52903,,5
2022-01-01,Invierno,Super Económico 50g,1153AN0T53202,,11
2022-01-01,Invierno,Super Económico 50g,1153AN0T53602,,11
2022-01-01,Invierno,Super Económico 50g,1153AN0T53916,,7
2022-01-01,Invierno,Super Económico 50g,1153AN0T54850,,8
2022-01-01,Invierno,Super Económico 50g,1153AN0T55032,,9
2022-01-01,Invierno,Super Económico 50g,1153AN0T56702,,19
2022-01-01,Invierno,Super Económico 50g,1153AN0T56902,,2
2022-01-01,Invierno,Super Económico 50g,1153AN0T57007,,6
2022-01-01,Invierno,Super Económico 50g,1153AN0T58003,,7
2022-01-01,Invierno,Super Económico 50g,1153AN0T58902,,27
2022-01-01,Bebé,Super Nene,1140NA1010001,,54
2022-01-01,Bebé,Super Nene,1140NA1010003,,71
2022-01-01,Bebé,Super Nene,1140NA1010004,,5
2022-01-01,Bebé,Super Nene,1140NA1010005,,30
2022-01-01,Bebé,Super Nene,1140NA1010007,,33
2022-01-01,Bebé,Super Nene,1140NA1010008,,32
2022-01-01,Bebé,Super Nene,1140NA1010009,,15
2022-01-01,Bebé,Super Nene,1140NA1010011,,15
2022-01-01,Bebé,Super Nene,1140NA1010026,,55
2022-01-01,Bebé,Super Nene,1140NA1010033,,10
2022-01-01,Bebé,Super Nene,1140NA1010034,,57
2022-01-01,Bebé,Super Nene,1140NA1010073,,91
2022-01-01,Bebé,Super Nene,1140NA1010439,,54
2022-01-01,Bebé,Super Nene,1140NA1010730,,60
2022-01-01,Bebé,Super Nene,1140NA1010731,,41
2022-01-01,Bebé,Super Nene,1140NA1010732,,41
2022-01-01,Bebé,Super Nene,1140NA1010734,,59
2022-01-01,Bebé,Super Nene,1140NA1010829,,50
2022-01-01,Bebé,Super Nene,1140NA1011102,,160
2022-01-01,Bebé,Super Nene,1140NA1011302,,70
2022-01-01,Bebé,Super Nene,1140NA1013303,,15
2022-01-01,Bebé,Super Nene,1140NA1013952,,39
2022-01-01,Bebé,Super Nene,1140NA1016902,,17
2022-01-01,Bebé,Super Nene,1140NA1018902,,42
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010022,,61
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010033,,125
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010425,,91
2022-01-01,Invierno,Ukryl Etiqueta Dorada,1100AN1010718,,140
