Month,Familia,Product_Code,Forecast_Product,SuperFamily
2025-01,Krehuel Estampado,1119AN1050481,2.737169702552229,Invierno
2025-01,Krehuel Estampado,1119AN1050482,2.1003539017614616,Invierno
2025-01,Krehuel Estampado,1119AN1050487,2.7024234029794503,Invierno
2025-01,Krehuel Estampado,1119AN1050488,2.486157641845426,Invierno
2025-01,Krehuel Estampado,1119AN1050489,3.345829019206435,Invierno
2025-01,Mandala,5526IMK010101,23.07633550937008,Invierno
2025-01,Mandala,5526IMK010119,19.509448135985096,Invierno
2025-01,Mandala,5526IMK010503,21.43487239162153,Invierno
2025-01,Mandala,5526IMK010504,20.805844554528107,Invierno
2025-01,Mandala,5526IMK010507,18.653970277538047,Invierno
2025-01,Mandala,5526IMK013002,3.390759578998822,Invierno
2025-01,Mandala,5526IMK013051,3.402741061610125,Invierno
2025-01,Mandala,5526IMK013307,3.282926235497093,Invierno
2025-01,Mandala,5526IMK013401,3.4386855094440354,Invierno
2025-01,Mandala,5526IMK013502,2.947444722380601,Invierno
2025-01,Mandala,5526IMK013505,3.282926235497093,Invierno
2025-01,Mandala,5526IMK013506,3.258963270274486,Invierno
2025-01,Mandala,5526IMK013601,3.0792410311049374,Invierno
2025-01,Mandala,5526IMK013603,3.3548151311649126,Invierno
2025-01,Mandala,5526IMK013703,3.2110373398292733,Invierno
2025-01,Mandala,5526IMK013709,3.2230188224405767,Invierno
2025-01,Mandala,5526IMK017804,21.6984650090702,Invierno
2025-01,Mandala,5526IMK017829,21.339020530731105,Invierno
2025-01,Mandala,5526IMK017832,20.967594569780704,Invierno
2025-01,Mandala,5526IMK017864,22.577905832739862,Invierno
2025-01,Mandala,5526IMK017865,20.342161177470672,Invierno
2025-01,Mosaico,5617IM8X10001,10.713841751027374,Invierno
2025-01,Mosaico,5617IM8X10002,9.180211976780557,Invierno
2025-01,Mosaico,5617IM8X10003,9.863156485624842,Invierno
2025-01,Mosaico,5617IM8X10004,11.038539929793693,Invierno
2025-01,Mosaico,5617IM8X10006,10.531723215335564,Invierno
2025-01,Mosaico,5617IM8X10007,10.945084365425526,Invierno
2025-01,Mosaico,5617IM8X10008,10.51974173272426,Invierno
2025-01,Mosaico,5617IM8X10009,8.97293232760501,Invierno
2025-01,Mosaico,5617IM8X10010,7.888608151282065,Invierno
2025-01,Mosaico,5617IM8X10011,11.777797406911104,Invierno
2025-01,Nako Melange,5614IM0D10091,26.742669188428877,Invierno
