Product_Code,Stock,Month,Familia,Forecast_Product,SuperFamily,Total_Projection,Stock_After_Consumption,Fecha
5527IM6010092,109.6,2025-06,Cotton Premium,15.657956697537893,Verano,15.657956697537893,93.9420433024621,2025-01-01
5527IM6010092,109.6,2025-07,Cotton Premium,24.05520327755136,Verano,24.05520327755136,85.54479672244864,2025-01-01
5527IM6010092,109.6,2025-08,Cotton Premium,41.2095686871118,Verano,41.2095686871118,68.3904313128882,2025-01-01
5527IM6010092,109.6,2025-09,Cotton Premium,47.85267306780614,Verano,47.85267306780614,61.74732693219386,2025-01-01
5527IM6010092,109.6,2025-10,Cotton Premium,58.25894113602226,Verano,58.25894113602226,51.341058863977736,2025-01-01
5527IM6010092,109.6,2025-11,Cotton Premium,45.57303152404679,Verano,45.57303152404679,64.0269684759532,2025-01-01
5527IM6010092,109.6,2025-12,Cotton Premium,32.41599240054552,Verano,32.41599240054552,77.18400759945447,2025-01-01
5527IM6010205,142.9,2025-01,Cotton Premium,38.71481092546609,Verano,38.71481092546609,104.18518907453392,2025-01-01
5527IM6010205,142.9,2025-02,Cotton Premium,28.50669334050012,Verano,28.50669334050012,114.39330665949988,2025-01-01
5527IM6010205,142.9,2025-03,Cotton Premium,32.98035216865088,Verano,32.98035216865088,109.91964783134912,2025-01-01
5527IM6010205,142.9,2025-04,Cotton Premium,29.246696046848275,Verano,29.246696046848275,113.65330395315173,2025-01-01
5527IM6010205,142.9,2025-05,Cotton Premium,30.51938752808137,Verano,30.51938752808137,112.38061247191864,2025-01-01
5527IM6010205,142.9,2025-06,Cotton Premium,24.21483960294391,Verano,24.21483960294391,118.6851603970561,2025-01-01
5527IM6010205,142.9,2025-07,Cotton Premium,37.2010793128397,Verano,37.2010793128397,105.6989206871603,2025-01-01
5527IM6010205,142.9,2025-08,Cotton Premium,63.73009678982077,Verano,63.73009678982077,79.16990321017923,2025-01-01
5527IM6010205,142.9,2025-09,Cotton Premium,74.00357692209256,Verano,74.00357692209256,68.89642307790744,2025-01-01
5527IM6010205,142.9,2025-10,Cotton Premium,90.0967439300658,Verano,90.0967439300658,52.80325606993421,2025-01-01
5527IM6010205,142.9,2025-11,Cotton Premium,70.47813899933855,Verano,70.47813899933855,72.42186100066145,2025-01-01
5527IM6010205,142.9,2025-12,Cotton Premium,50.130938008845455,Verano,50.130938008845455,92.76906199115456,2025-01-01
5527IM6010209,3.6,2025-01,Cotton Premium,31.786208499807564,Verano,31.786208499807564,-28.186208499807563,2025-01-01
5527IM6010209,3.6,2025-02,Cotton Premium,23.404988336522624,Verano,23.404988336522624,-19.804988336522623,2025-01-01
5527IM6010209,3.6,2025-03,Cotton Premium,27.07801808584441,Verano,27.07801808584441,-23.478018085844408,2025-01-01
5527IM6010209,3.6,2025-04,Cotton Premium,24.01255633833177,Verano,24.01255633833177,-20.41255633833177,2025-01-01
5527IM6010209,3.6,2025-05,Cotton Premium,25.05748038190482,Verano,25.05748038190482,-21.45748038190482,2025-01-01
