Product_Code,Stock
1103NA1010807,0.0
1103NA1010808,0.0
1103NA1010809,0.0
1103NA1010811,0.0
1103NA1010812,0.0
1103NA1010813,0.0
1103NA1010814,0.0
1103NA1010815,0.0
1103NA1010817,0.0
1103NA1010821,0.0
1103NA1010824,0.0
1103NA1010828,0.0
1103NA1010829,0.0
1103NA1010830,0.0
1103NA1010831,0.0
1103NA1010832,0.0
1103NA1010837,0.0
1103NA1010845,0.0
1103NA1010846,0.0
1103NA1010847,0.0
1103NA1010849,0.0
1103NA1010863,0.0
1103NA1010867,0.0
1103NA1010875,0.0
1103NA1010878,0.0
1103NA1010880,0.0
1103NA1010882,0.0
1103NA1010883,0.0
1103NA1010900,0.0
1103NA1010902,0.0
1103NA1011302,0.0
1103NA1011777,0.0
1103NA1011788,0.0
1103NA1011799,0.0
1103NA1012526,0.0
1103NA1012903,0.0
1103NA1013102,0.0
1103NA1013202,0.0
1103NA1013602,0.0
1103NA1013902,0.0
1103NA1013916,0.0
1103NA1013917,0.0
1103NA1014015,0.0
1103NA1014850,0.0
1103NA1015029,0.0
1103NA1015032,0.0
1103NA1015033,0.0
1103NA1015102,0.0
1103NA1015302,0.0
1103NA1015502,0.0
1103NA1016202,0.0
1103NA1016402,0.0
1103NA1016702,0.0
1103NA1016890,0.0
1103NA1016902,0.0
1103NA1017000,0.0
1103NA1017007,0.0
1103NA1017402,0.0
1103NA1017802,0.0
1103NA1017902,0.0
1103NA1018003,0.0
1103NA1019102,0.0
1103NA1019202,0.0
1103NA1019300,0.0
1103NA1019302,0.0
1103NA1019502,0.0
1103NA1019602,0.0
1104CO1050022,0.0
1104CO1050033,0.0
1104CO1050425,0.0
1104CO1050712,0.0
1104CO1050728,0.0
1104CO1050732,0.0
1104CO1050735,0.0
1104CO1050740,0.0
1104CO1050769,0.0
1104CO1050772,0.0
1104CO1050807,0.0
1104CO1050811,0.0
1104CO1050829,0.0
1104CO1050831,0.0
1104CO1050875,0.0
1104CO1050882,0.0
1104CO1050888,0.0
1104CO1050900,0.0
1104CO1051102,0.0
1104CO1051302,0.0
1104CO1051777,0.0
1104CO1051788,0.0
1104CO1051799,0.0
1104CO1052302,0.0
1104CO1052903,0.0
1104CO1053102,0.0
1104CO1053202,0.0
1104CO1053602,0.0
1104CO1053916,0.0
1104CO1054015,0.0
1104CO1054850,0.0
1104CO1055032,0.0
1104CO1055033,0.0
1104CO1055102,0.0
1104CO1055302,0.0
1104CO1056202,0.0
1104CO1056402,0.0
1104CO1056702,0.0
1104CO1056890,0.0
1104CO1056902,0.0
1104CO1057007,0.0
1104CO1057802,0.0
1104CO1058003,0.0
1104CO1058902,0.0
1104CO1059102,0.0
1104CO1059202,0.0
1104CO1059300,0.0
1104CO1059602,0.0
1105CO1010006,0.0
1105CO1010008,0.0
1105CO1010010,0.0
1105CO1010020,0.0
1105CO1010022,0.0
1105CO1010033,0.0
1105CO1010034,0.0
1105CO1010073,0.0
1105CO1010134,0.0
1105CO1010425,0.0
1105CO1010712,0.0
1105CO1010718,0.0
1105CO1010728,0.0
1105CO1010732,0.0
1105CO1010735,0.0
1105CO1010740,0.0
1105CO1010769,0.0
1105CO1010772,0.0
1105CO1010807,0.0
1105CO1010811,0.0
1105CO1010829,0.0
1105CO1010831,0.0
1105CO1010875,0.0
1105CO1010880,0.0
1105CO1010882,0.0
1105CO1010888,0.0
1105CO1010900,0.0
1105CO1011102,0.0
1105CO1011302,0.0
1105CO1011777,0.0
1105CO1011788,0.0
1105CO1011799,0.0
1105CO1012302,0.0
1105CO1012903,0.0
1105CO1013102,0.0
1105CO1013202,0.0
1105CO1013602,0.0
1105CO1013902,0.0
1105CO1013916,0.0
1105CO1013917,0.0
1105CO1014015,0.0
1105CO1014850,0.0
1105CO1015032,0.0
1105CO1015033,0.0
1105CO1015102,0.0
1105CO1015302,0.0
1105CO1015502,0.0
1105CO1016202,0.0
1105CO1016402,0.0
1105CO1016702,0.0
1105CO1016890,0.0
1105CO1016902,0.0
