Month,Familia,Product_Code,Forecast_Product
2025-05,Baby Soft,1148AN1010039,86.35115106822818
2025-05,Baby Soft,1148AN1010041,74.87227393891796
2025-05,Baby Soft,1148AN1010050,51.716750081515414
2025-05,Baby Soft,1148AN1010081,106.52365014400092
2025-05,Baby Soft,1148AN1010229,98.73235199198169
2025-05,Baby Soft,1148AN1010439,66.68543658933453
2025-05,Baby Soft,1148AN1010730,76.40086812950447
2025-05,Baby Soft,1148AN1010734,93.77987162248027
2025-05,Baby Soft,1148AN1010812,59.730539032164515
2025-05,Baby Soft,1148AN1010831,57.66219864490187
2025-05,Baby Soft,1148AN1010875,77.66164932174028
2025-05,Baby Soft,1148AN1010888,102.67950356767413
2025-05,Baby Soft,1148AN1011102,323.0607598105117
2025-05,Baby Soft,1148AN1011302,156.2338628378731
2025-05,Baby Soft,1148AN1013401,65.05383739938232
2025-05,Baby Soft,1148AN1013602,75.1565677371672
2025-05,Baby Soft,1148AN1013902,38.07888816550075
2025-05,Baby Soft,1148AN1014204,47.538867307243855
2025-05,Baby Soft,1148AN1016402,43.838927730029
2025-05,Baby Soft,1148AN1018902,120.49112805798572
2025-05,Bebe 100,5615IMD100208,28.668351423453178
2025-05,Bebe 100,5615IMD100214,5.994890963081974
2025-05,Bebe 100,5615IMD100215,8.961434944813261
2025-05,Bebe 100,5615IMD100217,4.664066371277522
2025-05,Bebe 100,5615IMD100229,6.75712795838793
2025-05,Bebe 100,5615IMD100247,2.2661099860447322
2025-05,Bebe 100,5615IMD100256,3.1313519807163575
2025-05,Bebe 100,5615IMD101036,1.9364939880745895
2025-05,Bebe 100,5615IMD101199,1.7304839893432502
2025-05,Bebe 100,5615IMD101291,0.7828379951790894
2025-05,Bebe 100,5615IMD101292,0.49442399695521433
2025-05,Bebe 100,5615IMD102197,11.297588330426647
2025-05,Bebe 100,5615IMD102587,6.200900961813313
2025-05,Bebe 100,5615IMD103641,4.758830970693937
2025-05,Bebe 100,5615IMD104895,6.130857562244658
2025-05,Bebe 100,5615IMD110094,5.026643969044679
2025-05,Bebe 100,5615IMD123070,4.470416972470063
2025-05,Bebe 100,5615IMD199054,6.43575236036704
2025-05,Lolipop,5601IMD180430,35.16590678343962
2025-05,Lolipop,5601IMD180431,32.34356980082027
2025-05,Lolipop,5601IMD180432,32.982200796887426
2025-05,Lolipop,5601IMD180433,26.30747683799203
2025-05,Lolipop,5601IMD180434,36.484370775320194
2025-05,Lolipop,5601IMD180437,31.198154207874026
2025-05,Lolipop,5601IMD180440,43.24561893368274
2025-05,Lolipop,5601IMD180563,33.47250459386801
2025-05,Lolipop,5601IMD181117,22.53749386120852
2025-05,Super Nene,1140NA1010001,57.748722844369034
2025-05,Super Nene,1140NA1010003,96.26435220718024
2025-05,Super Nene,1140NA1010004,30.584244411654634
2025-05,Super Nene,1140NA1010005,48.008570104351314
2025-05,Super Nene,1140NA1010007,43.07257053474843
2025-05,Super Nene,1140NA1010008,34.741526186053065
2025-05,Super Nene,1140NA1010009,14.906883508199714
2025-05,Super Nene,1140NA1010011,2.5133219845223396
2025-05,Super Nene,1140NA1010026,90.19117744458035
2025-05,Super Nene,1140NA1010033,2.060099987313393
