Ovillo_Code,Cono_Stock,Ovillo_Stock,Stock_total
1146PA1016102,0.0,0.0,0.0
1146PA1016202,0.0,0.0,0.0
1146PA1016502,0.0,0.0,0.0
1146PA1016702,0.0,0.0,0.0
1146PA1016902,0.0,0.0,0.0
1146PA1017102,0.0,0.0,0.0
1146PA1018003,0.0,0.0,0.0
1146PA1018202,0.0,0.0,0.0
1146PA1018205,0.0,0.0,0.0
1146PA1018902,0.0,0.0,0.0
1147PA1010004,0.0,0.0,0.0
1147PA1010007,0.0,0.0,0.0
1147PA1010009,0.0,0.0,0.0
1147PA1010020,0.0,0.0,0.0
1147PA1010021,0.0,0.0,0.0
1147PA1010022,0.0,0.0,0.0
1147PA1010023,0.0,0.0,0.0
1147PA1010024,0.0,0.0,0.0
1147PA1010026,0.0,0.0,0.0
1147PA1010028,0.0,0.0,0.0
1147PA1010031,0.0,0.0,0.0
1147PA1010032,0.0,0.0,0.0
1147PA1010038,0.0,0.0,0.0
1147PA1010056,0.0,0.0,0.0
1147PA1010060,0.0,0.0,0.0
1147PA1010064,0.0,0.0,0.0
1147PA1010085,0.0,0.0,0.0
1147PA1010110,0.0,0.0,0.0
1147PA1010201,0.0,0.0,0.0
1147PA1010205,0.0,0.0,0.0
1147PA1010210,0.0,0.0,0.0
1147PA1010216,0.0,0.0,0.0
1147PA1010225,0.0,0.0,0.0
1147PA1010228,0.0,0.0,0.0
1147PA1010229,0.0,0.0,0.0
1147PA1010231,0.0,0.0,0.0
1147PA1010285,0.0,0.0,0.0
1148AN1010003,0.0,188.7,188.7
1148AN1010014,0.0,105.9,105.9
1148AN1010024,0.0,319.6,319.6
1148AN1010026,0.0,463.1,463.1
1148AN1010034,0.0,222.9,222.9
1148AN1010039,0.0,108.1,108.1
1148AN1010041,0.0,173.4,173.4
1148AN1010050,0.0,260.8,260.8
1148AN1010081,0.0,288.0,288.0
1148AN1010229,0.0,204.6,204.6
1148AN1010439,0.0,156.2,156.2
1148AN1010730,0.0,66.6,66.6
1148AN1010734,0.0,110.0,110.0
1148AN1010812,0.0,146.2,146.2
1148AN1010831,0.0,300.8,300.8
1148AN1010875,0.0,200.3,200.3
1148AN1010888,0.0,204.1,204.1
1148AN1011102,0.0,496.6,496.6
1148AN1011302,0.0,157.5,157.5
1148AN1013401,0.0,106.2,106.2
1148AN1013602,0.0,174.7,174.7
1148AN1013902,0.0,256.7,256.7
1148AN1014204,0.0,73.3,73.3
1148AN1016402,0.0,176.8,176.8
1148AN1018902,0.0,258.1,258.1
1150AN0T10033,202.3,1026.4,1228.7
1150AN0T10041,810.0,579.2,1389.2
1150AN0T10425,405.4,387.7,793.0999999999999
1150AN0T10712,404.3,644.52,1048.82
1150AN0T10718,304.0,723.2,1027.2
1150AN0T10735,801.6,404.5,1206.1
1150AN0T10740,408.69999999999993,400.8,809.5
1150AN0T10769,609.8,638.7,1248.5
1150AN0T10772,492.9,401.2,894.0999999999999
1150AN0T10807,0.0,582.5,582.5
1150AN0T10811,815.5999999999999,696.2,1511.8
1150AN0T10829,0.0,415.8,415.8
1150AN0T10875,398.9,597.8,996.6999999999999
1150AN0T10883,0.0,0.0,0.0
1150AN0T11102,130.89999999999998,885.0,1015.9
1150AN0T11302,0.0,310.1,310.1
1150AN0T12302,0.0,0.0,0.0
1150AN0T12903,818.0,495.9,1313.9
1150AN0T13002,0.0,0.0,0.0
1150AN0T13202,592.8,400.8,993.5999999999999
1150AN0T13602,713.0,605.5,1318.5
1150AN0T13902,0.0,0.0,0.0
1150AN0T13916,410.8,520.1,930.9000000000001
1150AN0T14015,0.0,0.0,0.0
1150AN0T14850,401.3,530.7,932.0
1150AN0T15032,406.2,463.8,870.0
1150AN0T16702,1219.4,562.7,1782.1000000000001
1150AN0T16902,0.0,826.9,826.9
1150AN0T17007,0.0,587.5,587.5
1150AN0T17902,0.0,0.0,0.0
1150AN0T18003,623.3,331.8,955.0999999999999
1150AN0T18902,815.2,995.6,1810.8000000000002
1151PAT010033,202.3,124.4,326.70000000000005
1151PAT010041,810.0,85.8,895.8
1151PAT010425,405.4,100.4,505.79999999999995
1151PAT010712,404.3,,404.3
1151PAT010718,304.0,121.5,425.5
1151PAT010735,801.6,70.0,871.6
1151PAT010740,408.69999999999993,50.0,458.69999999999993
1151PAT010769,609.8,40.0,649.8
1151PAT010772,492.9,140.0,632.9
1151PAT010807,0.0,120.0,120.0
1151PAT010811,815.5999999999999,147.9,963.4999999999999
1151PAT010829,0.0,70.0,70.0
1151PAT010875,398.9,100.0,498.9
1151PAT010883,0.0,0.0,0.0
1151PAT011102,130.89999999999998,40.0,170.89999999999998
1151PAT011302,0.0,127.6,127.6
1151PAT012302,0.0,0.0,0.0
1151PAT012903,818.0,60.0,878.0
1151PAT013202,592.8,80.0,672.8
1151PAT013602,713.0,,713.0
1151PAT013916,410.8,70.0,480.8
1151PAT014850,401.3,79.9,481.20000000000005
1151PAT015032,406.2,100.8,507.0
1151PAT016702,1219.4,70.0,1289.4
1151PAT016902,0.0,0.0,0.0
1151PAT017007,0.0,94.3,94.3
1151PAT018003,623.3,69.9,693.1999999999999
1151PAT018902,815.2,100.0,915.2
1153AN0T50033,202.3,23.01,225.31
1153AN0T50041,810.0,44.5,854.5
1153AN0T50425,405.4,69.4,474.79999999999995
1153AN0T50712,404.3,50.35,454.65000000000003
1153AN0T50718,304.0,31.0,335.0
1153AN0T50735,801.6,36.0,837.6
1153AN0T50740,408.69999999999993,0.5,409.19999999999993
1153AN0T50769,609.8,85.5,695.3
1153AN0T50772,492.9,70.05,562.9499999999999
1153AN0T50807,0.0,58.85,58.85
1153AN0T50811,815.5999999999999,32.45,848.05
1153AN0T50829,0.0,79.5,79.5
1153AN0T50875,398.9,108.6,507.5
1153AN0T51102,130.89999999999998,18.85,149.74999999999997
1153AN0T51302,0.0,112.41,112.41
1153AN0T52903,818.0,121.0,939.0
1153AN0T53202,592.8,19.0,611.8
1153AN0T53602,713.0,46.75,759.75
1153AN0T53916,410.8,63.5,474.3
1153AN0T54850,401.3,63.0,464.3
1153AN0T55032,406.2,0.0,406.2
1153AN0T56702,1219.4,62.0,1281.4
1153AN0T56902,0.0,61.5,61.5
1153AN0T57007,0.0,159.0,159.0
1153AN0T58003,623.3,109.35,732.65
1153AN0T58902,815.2,120.01,935.21
1300ANV010003,0.0,85.6,85.6
1300ANV010022,0.0,168.4,168.4
1300ANV010026,237.7,133.8,371.5
1300ANV010028,0.0,56.6,56.6
1300ANV010029,0.0,89.8,89.8
1300ANV010030,0.0,0.0,0.0
1300ANV010033,0.0,85.0,85.0
1300ANV010035,0.0,0.0,0.0
1300ANV010055,204.0,217.3,421.3
1300ANV010081,0.0,176.3,176.3
1300ANV010134,0.0,0.0,0.0
1300ANV010205,0.0,238.7,238.7
1300ANV010209,0.0,85.1,85.1
1300ANV010216,0.0,77.2,77.2
1300ANV010223,233.1,231.0,464.1
1300ANV010225,238.0,135.4,373.4
1300ANV010229,239.2,77.7,316.9
1300ANV010231,0.0,148.7,148.7
1300ANV010234,0.0,0.0,0.0
1300ANV010259,0.0,220.6,220.6
1300ANV010279,401.7,393.6,795.3
1300ANV010281,0.0,112.6,112.6
1300ANV010288,0.0,125.3,125.3
1300ANV010289,234.65,120.0,354.65
1300ANV010425,554.9,82.7,637.6
1300ANV010439,0.0,123.7,123.7
1300ANV010712,0.0,8.5,8.5
1300ANV010730,0.0,120.2,120.2
1300ANV010731,0.0,15.1,15.1
1300ANV010734,0.0,0.0,0.0
1300ANV011033,0.0,278.5,278.5
1300ANV011102,1261.0,512.6,1773.6
1300ANV011281,0.0,202.5,202.5
1300ANV011302,477.4,281.2,758.5999999999999
1300ANV011777,0.0,14.5,14.5
1300ANV011788,0.0,89.3,89.3
1300ANV011799,0.0,25.5,25.5
1300ANV012502,235.7,49.3,285.0
1300ANV012903,0.0,0.0,0.0
1300ANV013308,0.0,0.0,0.0
1300ANV013401,0.0,215.0,215.0
1300ANV013602,258.3,426.6,684.9000000000001
1300ANV014015,0.0,0.0,0.0
1300ANV014204,0.0,17.1,17.1
1300ANV014850,275.9,183.2,459.09999999999997
1300ANV015032,0.0,0.0,0.0
1300ANV015102,0.0,0.0,0.0
1300ANV016202,0.0,0.0,0.0
1300ANV016210,236.8,95.0,331.8
1300ANV016211,117.0,5.3,122.3
1300ANV016212,238.9,157.6,396.5
1300ANV016213,118.9,158.7,277.6
1300ANV016214,0.0,167.0,167.0
1300ANV016215,244.7,55.8,300.5
1300ANV016402,199.9,144.1,344.0
1300ANV016702,0.0,0.0,0.0
1300ANV016890,715.6,205.9,921.5
1300ANV017402,0.0,,0.0
1300ANV017802,237.4,100.5,337.9
1300ANV018102,119.1,62.5,181.6
1300ANV018252,0.0,67.4,67.4
1300ANV018254,0.0,85.2,85.2
1300ANV018257,0.0,193.0,193.0
1300ANV018259,242.7,152.3,395.0
1300ANV018262,0.0,90.9,90.9
1300ANV018902,724.2,317.0,1041.2
1305ANV010001,0.0,41.7,41.7
1305ANV010002,0.0,41.9,41.9
1305ANV010003,0.0,32.9,32.9
1305ANV010004,0.0,4.7,4.7
1305ANV010005,0.0,29.6,29.6
1305ANV010006,0.0,8.2,8.2
1305ANV010007,0.0,10.9,10.9
1305ANV010008,0.0,3.6,3.6
1305ANV010009,0.0,32.4,32.4
1305ANV010010,0.0,0.7,0.7
1305ANV010011,0.0,50.3,50.3
1305ANV010016,0.0,0.0,0.0
1305ANV010021,0.0,0.0,0.0
1305ANV010024,0.0,0.0,0.0
1305ANV010025,0.0,0.0,0.0
1305ANV010026,0.0,0.0,0.0
1305ANV010030,0.0,0.0,0.0
1305ANV010034,0.0,0.0,0.0
1305ANV010041,0.0,0.0,0.0
1305ANV010050,0.0,0.0,0.0
1305ANV010051,0.0,0.0,0.0
1305ANV010062,0.0,0.0,0.0
1305ANV010064,0.0,0.0,0.0
1305ANV010065,0.0,0.0,0.0
1305ANV010090,0.0,0.0,0.0
1305ANV010098,0.0,0.0,0.0
1305ANV010101,0.0,0.0,0.0
1305ANV010102,0.0,0.0,0.0
1305ANV010103,0.0,0.0,0.0
1305ANV010105,0.0,0.0,0.0
1305ANV010106,0.0,0.0,0.0
1305ANV010107,0.0,0.0,0.0
1305ANV010108,0.0,0.0,0.0
1305ANV010109,0.0,0.0,0.0
1305ANV010110,0.0,0.0,0.0
1305ANV010111,0.0,0.0,0.0
1305ANV010112,0.0,0.0,0.0
1305ANV010113,0.0,0.0,0.0
1305ANV010120,0.0,0.0,0.0
1305ANV010121,0.0,0.0,0.0
1305ANV010122,0.0,0.0,0.0
1305ANV010123,0.0,0.0,0.0
1305ANV010124,0.0,0.0,0.0
1305ANV010125,0.0,0.0,0.0
1305ANV010126,0.0,0.0,0.0
1305ANV010127,0.0,0.0,0.0
1305ANV010128,0.0,0.0,0.0
1305ANV010129,0.0,0.0,0.0
1305ANV010130,0.0,0.0,0.0
1305ANV010131,0.0,0.0,0.0
1308ANV010003,192.9,127.9,320.8
1308ANV010022,0.0,139.6,139.6
1308ANV010026,0.0,0.0,0.0
1308ANV010028,0.0,134.1,134.1
1308ANV010029,250.3,245.3,495.6
1308ANV010030,0.0,0.0,0.0
1308ANV010033,0.0,86.3,86.3
1308ANV010035,0.0,0.0,0.0
1308ANV010055,0.0,0.0,0.0
1308ANV010081,247.6,146.0,393.6
1308ANV010134,0.0,0.0,0.0
1308ANV010205,203.7,94.5,298.2
1308ANV010209,0.0,-2.5,-2.5
1308ANV010216,0.0,0.0,0.0
1308ANV010223,230.6,164.6,395.2
1308ANV010225,0.0,193.7,193.7
1308ANV010229,0.0,64.8,64.8
1308ANV010231,0.0,0.0,0.0
1308ANV010234,0.0,0.0,0.0
1308ANV010259,0.0,0.0,0.0
1308ANV010279,0.0,0.0,0.0
1308ANV010281,0.0,0.0,0.0
1308ANV010288,0.0,0.0,0.0
1308ANV010289,0.0,39.8,39.8
1308ANV010425,127.8,56.7,184.5
1308ANV010439,249.0,93.0,342.0
1308ANV010712,205.7,102.9,308.6
1308ANV010730,0.0,165.2,165.2
1308ANV010731,206.2,194.3,400.5
1308ANV010734,0.0,0.0,0.0
1308ANV011102,0.0,3.3,3.3
1308ANV011302,0.0,317.8,317.8
1308ANV011777,0.0,0.0,0.0
1308ANV011788,0.0,0.0,0.0
1308ANV011799,0.0,0.0,0.0
