Fecha,Familia,Product_Code,Projection,SuperFamily,Stock_Cones,Stock_Ovillo,Stock_Total,Stock_Ovillo_sim,Stock_Cono_sim,Stock_Flow
2025-01,Extra,1155AN1011102,33.09851154486932,Invierno,0.0,-1.0,-1.0,0.0,0.0,0.0
2025-01,Extra,1155AN1011302,27.41287765986109,Invierno,0.0,365.5,365.5,338.08712234013893,0.0,338.08712234013893
2025-01,Extra,1155AN1012903,20.502832213262607,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Extra,1155AN1013202,20.108838393939013,Invierno,0.0,-0.8,-0.8,0.0,0.0,0.0
2025-01,Extra,1155AN1013602,29.740471915557425,Invierno,0.0,311.1,311.1,281.3595280844426,0.0,281.3595280844426
2025-01,Extra,1155AN1014850,2.9852608617980296,Invierno,0.0,0.4,0.4,0.0,0.0,0.0
2025-01,Extra,1155AN1015502,23.044092347899817,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Extra,1155AN1016702,24.34427195166769,Invierno,0.0,3.0,3.0,0.0,0.0,0.0
2025-01,Extra,1155AN1016890,9.251277949886788,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Extra,1155AN1016902,17.022048355622978,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Extra,1155AN1018003,21.76664315678523,Invierno,0.0,1.0,1.0,0.0,0.0,0.0
2025-01,Extra,1155AN1018902,47.63688347791008,Invierno,0.0,-0.2,-0.2,0.0,0.0,0.0
2025-01,Glaciar,5521IM1010530,9.23460898060771,Invierno,0.0,5.8,5.8,0.0,0.0,0.0
2025-01,Glaciar,5521IM1010572,12.2592692243381,Invierno,0.0,38.6,38.6,26.340730775661903,0.0,26.340730775661903
2025-01,Glaciar,5521IM1010718,17.000833303813245,Invierno,0.0,144.4,144.4,127.39916669618677,0.0,127.39916669618677
2025-01,Glaciar,5521IM1010740,0.4697618615012127,Invierno,0.0,156.9,156.9,156.4302381384988,0.0,156.4302381384988
2025-01,Glaciar,5521IM1010831,0.6819123795985346,Invierno,0.0,148.4,148.4,147.71808762040146,0.0,147.71808762040146
2025-01,Glaciar,5521IM1010862,9.198240320362457,Invierno,0.0,7.2,7.2,0.0,0.0,0.0
2025-01,Glaciar,5521IM1010875,9.486158880637392,Invierno,0.0,38.5,38.5,29.01384111936261,0.0,29.01384111936261
2025-01,Glaciar,5521IM1010888,18.30404362926822,Invierno,0.0,123.9,123.9,105.59595637073178,0.0,105.59595637073178
2025-01,Glaciar,5521IM1010910,0.4849154699367357,Invierno,0.0,164.1,164.1,163.61508453006326,0.0,163.61508453006326
2025-01,Glaciar,5521IM1010935,1.7275113616496212,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Glaciar,5521IM1011302,31.395245956716536,Invierno,0.0,244.0,244.0,212.60475404328346,0.0,212.60475404328346
2025-01,Glaciar,5521IM1012903,10.516604254252956,Invierno,0.0,72.0,72.0,61.483395745747046,0.0,61.483395745747046
2025-01,Glaciar,5521IM1013602,17.502417743029056,Invierno,0.0,102.9,102.9,85.39758225697095,0.0,85.39758225697095
2025-01,Glaciar,5521IM1015204,23.222904927438982,Invierno,0.0,73.2,73.2,49.97709507256102,0.0,49.97709507256102
2025-01,Glaciar,5521IM1015502,13.835244501632491,Invierno,0.0,66.1,66.1,52.26475549836751,0.0,52.26475549836751
2025-01,Glaciar,5521IM1017007,15.16573132227141,Invierno,0.0,124.2,124.2,109.03426867772859,0.0,109.03426867772859
2025-01,Glaciar,5521IM1018902,26.882501364617784,Invierno,0.0,76.0,76.0,49.11749863538222,0.0,49.11749863538222
2025-01,Glaciar,5521IM1019102,1.7275113616496212,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Glaciar Estampado Ac,5524IM1010138,9.243701145669023,Invierno,0.0,64.1,64.1,54.85629885433097,0.0,54.85629885433097
2025-01,Glaciar Estampado Ac,5524IM1010148,15.77793710306654,Invierno,0.0,89.2,89.2,73.42206289693347,0.0,73.42206289693347
2025-01,Glaciar Estampado Ac,5524IM1010158,11.44248972966341,Invierno,0.0,112.4,112.4,100.9575102703366,0.0,100.9575102703366
2025-01,Glaciar Estampado Ac,5524IM1010168,10.38022177833325,Invierno,0.0,78.6,78.6,68.21977822166674,0.0,68.21977822166674
2025-01,Glaciar Estampado Ac,5524IM1010178,9.44524413786148,Invierno,0.0,38.5,38.5,29.05475586213852,0.0,29.05475586213852
2025-01,Glaciar Estampado Ac,5524IM1010188,11.25761570675003,Invierno,0.0,112.2,112.2,100.94238429324997,0.0,100.94238429324997
2025-01,Glaciar Estampado Ac,5524IM1010198,9.97107435057413,Invierno,0.0,27.6,27.6,17.628925649425874,0.0,17.628925649425874
2025-01,Happy Soft,5538IM0F10001,27.382570442990048,Invierno,0.0,600.3,600.3,572.9174295570099,0.0,572.9174295570099
2025-01,Happy Soft,5538IM0F10002,29.807147792673724,Invierno,0.0,270.4,270.4,240.59285220732625,0.0,240.59285220732625
2025-01,Happy Soft,5538IM0F10003,17.290267224931736,Invierno,0.0,894.7,894.7,877.4097327750683,0.0,877.4097327750683
2025-01,Happy Soft,5538IM0F10004,14.956611525861192,Invierno,0.0,780.7,780.7,765.7433884741389,0.0,765.7433884741389
2025-01,Happy Soft,5538IM0F10005,15.970387930197685,Invierno,0.0,529.4,529.4,513.4296120698023,0.0,513.4296120698023
2025-01,Happy Soft,5538IM0F10006,13.183639338905005,Invierno,0.0,686.8,686.8,673.616360661095,0.0,673.616360661095
2025-01,Happy Soft,5538IM0F10007,15.668831122330776,Invierno,0.0,579.3,579.3,563.6311688776692,0.0,563.6311688776692
2025-01,Happy Soft,5538IM0F10008,15.092994001780902,Invierno,0.0,405.1,405.1,390.00700599821914,0.0,390.00700599821914
2025-01,Happy Soft,5538IM0F10009,12.926027995501112,Invierno,0.0,592.8,592.8,579.8739720044988,0.0,579.8739720044988
2025-01,Happy Soft,5538IM0F10010,13.562479549793078,Invierno,0.0,671.3,671.3,657.7375204502068,0.0,657.7375204502068
2025-01,Happy Soft,5538IM0F10011,14.365620796875795,Invierno,0.0,435.1,435.1,420.7343792031242,0.0,420.7343792031242
2025-01,Happy Soft,5538IM0F10012,13.047256862985297,Invierno,0.0,528.5,528.5,515.4527431370147,0.0,515.4527431370147
2025-01,Happy Soft,5538IM0F10013,13.304868206389187,Invierno,0.0,509.4,509.4,496.0951317936108,0.0,496.0951317936108
2025-01,Happy Soft,5538IM0F10014,11.622817670046135,Invierno,0.0,391.9,391.9,380.27718232995386,0.0,380.27718232995386
2025-01,Happy Soft,5538IM0F10015,13.592786766664124,Invierno,0.0,557.1,557.1,543.5072132333358,0.0,543.5072132333358
2025-01,Happy Soft,5538IM0F10016,11.39551354351329,Invierno,0.0,550.6,550.6,539.2044864564867,0.0,539.2044864564867
2025-01,Happy Soft,5538IM0F10017,16.835658971866046,Invierno,0.0,523.8,523.8,506.9643410281339,0.0,506.9643410281339
2025-01,Happy Soft,5538IM0F10018,12.986642429243206,Invierno,0.0,672.2,672.2,659.2133575707568,0.0,659.2133575707568
2025-01,Happy Soft Estampado,5539IM0F10040,6.425129976661749,Invierno,0.0,210.4,210.4,203.97487002333827,0.0,203.97487002333827
2025-01,Happy Soft Estampado,5539IM0F10041,6.000828940467106,Invierno,0.0,236.3,236.3,230.2991710595329,0.0,230.2991710595329
2025-01,Happy Soft Estampado,5539IM0F10042,5.076458825900203,Invierno,0.0,226.6,226.6,221.5235411740998,0.0,221.5235411740998
2025-01,Happy Soft Estampado,5539IM0F10043,6.637280494759071,Invierno,0.0,200.1,200.1,193.46271950524093,0.0,193.46271950524093
2025-01,Happy Soft Estampado,5539IM0F10044,5.227994910255433,Invierno,0.0,277.9,277.9,272.6720050897445,0.0,272.6720050897445
2025-01,Happy Soft Estampado,5539IM0F10045,6.788816579114301,Invierno,0.0,180.9,180.9,174.1111834208857,0.0,174.1111834208857
2025-01,Happy Soft Estampado,5539IM0F10046,7.273732049051037,Invierno,0.0,265.4,265.4,258.12626795094894,0.0,258.12626795094894
2025-01,Happy Soft Estampado,5539IM0F10047,5.985675332031583,Invierno,0.0,363.4,363.4,357.4143246679684,0.0,357.4143246679684
2025-01,Happy Soft Estampado,5539IM0F10048,6.288747500742042,Invierno,0.0,209.4,209.4,203.11125249925797,0.0,203.11125249925797
2025-01,Happy Soft Estampado,5539IM0F10049,7.364653699664175,Invierno,0.0,293.6,293.6,286.23534630033583,0.0,286.23534630033583
2025-01,Krehuel,1123AN1050001,7.087342665294104,Invierno,0.0,1.6,1.6,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050006,5.093127795179279,Invierno,0.0,1.25,1.25,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050011,4.693830212903247,Invierno,0.0,1.6,1.6,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050012,11.022734775999426,Invierno,0.0,0.95,0.95,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050013,18.3873884756636,Invierno,0.0,0.8,0.8,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050015,4.665038356875755,Invierno,0.0,21.0,21.0,16.334961643124245,0.0,16.334961643124245
2025-01,Krehuel,1123AN1050017,14.889177968323118,Invierno,0.0,0.85,0.85,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050018,19.43829122066712,Invierno,0.0,2.0,2.0,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050020,5.359073623222706,Invierno,0.0,84.0,84.0,78.64092637677729,0.0,78.64092637677729
2025-01,Krehuel,1123AN1050022,5.596227595238642,Invierno,0.0,0.2,0.2,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050023,4.256648609538408,Invierno,0.0,60.05,60.05,55.79335139046159,0.0,55.79335139046159
2025-01,Krehuel,1123AN1050024,7.950340665697138,Invierno,0.0,1.4,1.4,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050025,2.348809307506064,Invierno,0.0,50.2,50.2,47.85119069249394,0.0,47.85119069249394
2025-01,Krehuel,1123AN1050026,5.139346300907623,Invierno,0.0,0.2,0.2,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050027,6.1122079624682,Invierno,0.0,1.05,1.05,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050028,4.60669696439899,Invierno,0.0,121.95,121.95,117.34330303560101,0.0,117.34330303560101
2025-01,Krehuel,1123AN1050030,7.1350765318660025,Invierno,0.0,3.2,3.2,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050036,6.493321214621603,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050037,16.150715870580406,Invierno,0.0,0.39,0.39,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050041,3.760367933275031,Invierno,0.0,0.45,0.45,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050134,2.3715397201593484,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050718,6.374365388402747,Invierno,0.0,9.8,9.8,3.4256346115972534,0.0,3.4256346115972534
2025-01,Krehuel,1123AN1050829,5.331039447616989,Invierno,0.0,1.4,1.4,0.0,0.0,0.0
2025-01,Krehuel,1123AN1050831,5.965975641065403,Invierno,0.0,10.5,10.5,4.534024358934597,0.0,4.534024358934597
2025-01,Krehuel,1123AN1050888,6.0379552811341375,Invierno,0.0,1.9,1.9,0.0,0.0,0.0
2025-01,Krehuel,1123AN1051777,6.075081621801168,Invierno,0.0,0.65,0.65,0.0,0.0,0.0
2025-01,Krehuel,1123AN1051788,6.819123795985347,Invierno,0.0,1.1,1.1,0.0,0.0,0.0
2025-01,Krehuel,1123AN1051799,7.157806944519287,Invierno,0.0,0.5,0.5,0.0,0.0,0.0
2025-01,Krehuel,1123AN1053602,8.842130522127666,Invierno,110.0,1.45,111.45,42.607869477872335,109.0,151.60786947787233
2025-01,Krehuel,1123AN1053902,3.567159425722113,Invierno,0.0,134.5,134.5,130.9328405742779,0.0,130.9328405742779
2025-01,Krehuel,1123AN1055032,9.094438102579124,Invierno,0.0,1.5,1.5,0.0,0.0,0.0
2025-01,Krehuel,1123AN1055502,5.75609816423341,Invierno,0.0,0.6,0.6,0.0,0.0,0.0
2025-01,Krehuel,1123AN1056902,2.68218869308757,Invierno,0.0,189.75,189.75,187.06781130691243,0.0,187.06781130691243
2025-01,Krehuel,1123AN1058003,5.0726704237913225,Invierno,0.0,1.05,1.05,0.0,0.0,0.0
2025-01,Krehuel Estampado,1119AN1050472,3.642927467899728,Invierno,0.0,15.05,15.05,11.407072532100273,0.0,11.407072532100273
2025-01,Krehuel Estampado,1119AN1050475,3.750518087791941,Invierno,0.0,9.25,9.25,5.49948191220806,0.0,5.49948191220806
2025-01,Krehuel Estampado,1119AN1050477,4.410457735158968,Invierno,0.0,0.8,0.8,0.0,0.0,0.0
2025-01,Krehuel Estampado,1119AN1050478,4.174819123986586,Invierno,0.0,4.65,4.65,0.47518087601341463,0.0,0.47518087601341463
2025-01,Krehuel Estampado,1119AN1050481,3.902054172147171,Invierno,0.0,1.1,1.1,0.0,0.0,0.0
2025-01,Krehuel Estampado,1119AN1050482,2.917069623838177,Invierno,0.0,25.6,25.6,22.682930376161824,0.0,22.682930376161824
2025-01,Krehuel Estampado,1119AN1050487,3.402742774196689,Invierno,0.0,42.15,42.15,38.74725722580331,0.0,38.74725722580331
2025-01,Krehuel Estampado,1119AN1050488,3.007991274451314,Invierno,0.0,43.25,43.25,40.242008725548686,0.0,40.242008725548686
2025-01,Krehuel Estampado,1119AN1050489,6.103115797406886,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Mandala,5526IMK010101,33.91377567870046,Invierno,0.0,0.1,0.1,0.0,0.0,0.0
2025-01,Mandala,5526IMK010119,27.068890748374724,Invierno,0.0,5.5,5.5,0.0,0.0,0.0
2025-01,Mandala,5526IMK010503,35.27760043789753,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Mandala,5526IMK010504,31.708925651331864,Invierno,0.0,0.2,0.2,0.0,0.0,0.0
2025-01,Mandala,5526IMK010507,27.04767569656499,Invierno,0.0,-0.2,-0.2,0.0,0.0,0.0
2025-01,Mandala,5526IMK013002,4.955229958416019,Invierno,0.0,2.22,2.22,0.0,0.0,0.0
2025-01,Mandala,5526IMK013051,4.864308307802881,Invierno,0.0,3.32,3.32,0.0,0.0,0.0
2025-01,Mandala,5526IMK013307,4.167242319768824,Invierno,0.0,4.88,4.88,0.7127576802311761,0.0,0.7127576802311761
2025-01,Mandala,5526IMK013401,4.227856753510916,Invierno,0.0,3.35,3.35,0.0,0.0,0.0
2025-01,Mandala,5526IMK013502,4.243010361946438,Invierno,0.0,4.64,4.64,0.3969896380535616,0.0,0.3969896380535616
2025-01,Mandala,5526IMK013505,4.046013452284639,Invierno,0.0,4.86,4.86,0.8139865477153609,0.0,0.8139865477153609
2025-01,Mandala,5526IMK013506,4.333932012559576,Invierno,0.0,5.69,5.69,1.356067987440424,0.0,1.356067987440424
2025-01,Mandala,5526IMK013601,4.45516088004376,Invierno,0.0,4.07,4.07,0.0,0.0,0.0
2025-01,Mandala,5526IMK013603,4.212703145075392,Invierno,0.0,-4.55,-4.55,0.0,0.0,0.0
2025-01,Mandala,5526IMK013703,4.182395928204346,Invierno,0.0,4.43,4.43,0.2476040717956538,0.0,0.2476040717956538
2025-01,Mandala,5526IMK013709,4.288471187253007,Invierno,0.0,2.71,2.71,0.0,0.0,0.0
2025-01,Mandala,5526IMK017804,32.18626431705084,Invierno,0.0,2.0,2.0,0.0,0.0,0.0
2025-01,Mandala,5526IMK017829,31.74680967242067,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Mandala,5526IMK017832,30.74667151567615,Invierno,0.0,4.2,4.2,0.0,0.0,0.0
2025-01,Mandala,5526IMK017864,32.9500061822012,Invierno,0.0,-4.2,-4.2,0.0,0.0,0.0
2025-01,Mandala,5526IMK017865,27.28861807068981,Invierno,0.0,0.4,0.4,0.0,0.0,0.0
2025-01,Mosaico,5617IM8X10001,14.15650100046558,Invierno,0.0,226.3,226.3,212.14349899953444,0.0,212.14349899953444
2025-01,Mosaico,5617IM8X10002,12.459296855687006,Invierno,0.0,131.7,131.7,119.24070314431299,0.0,119.24070314431299
2025-01,Mosaico,5617IM8X10003,13.323052536511817,Invierno,0.0,167.0,167.0,153.67694746348818,0.0,153.67694746348818
2025-01,Mosaico,5617IM8X10004,14.067094710695994,Invierno,0.0,230.8,230.8,216.73290528930403,0.0,216.73290528930403
2025-01,Mosaico,5617IM8X10006,16.66896927907529,Invierno,0.0,233.9,233.9,217.2310307209247,0.0,217.2310307209247
2025-01,Mosaico,5617IM8X10007,15.100570805998665,Invierno,0.0,213.7,213.7,198.59942919400132,0.0,198.59942919400132
2025-01,Mosaico,5617IM8X10008,13.744322851019351,Invierno,0.0,144.5,144.5,130.75567714898065,0.0,130.75567714898065
2025-01,Mosaico,5617IM8X10009,12.606286857511575,Invierno,0.0,142.4,142.4,129.79371314248843,0.0,129.79371314248843
2025-01,Mosaico,5617IM8X10010,11.386421378451978,Invierno,0.0,149.1,149.1,137.713578621548,0.0,137.713578621548
2025-01,Mosaico,5617IM8X10011,17.184191965883073,Invierno,0.0,285.1,285.1,267.91580803411694,0.0,267.91580803411694
2025-01,Nako Melange,5614IM0D10091,38.53562625153497,Invierno,0.0,1043.0,1043.0,1004.464373748465,0.0,1004.464373748465
2025-01,Nako Melange,5614IM0D10092,35.45338229574959,Invierno,0.0,700.2,700.2,664.7466177042504,0.0,664.7466177042504
2025-01,Nako Melange,5614IM0D10093,31.525566989262035,Invierno,0.0,533.1,533.1,501.574433010738,0.0,501.574433010738
2025-01,Nako Melange,5614IM0D10094,10.904536630202346,Invierno,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,Nako Melange,5614IM0D10095,21.66814470195433,Invierno,0.0,9.1,9.1,0.0,0.0,0.0
2025-01,Nako Melange,5614IM0D10096,15.877950918740993,Invierno,0.0,546.8,546.8,530.9220490812589,0.0,530.9220490812589
2025-01,Nako Melange,5614IM0D10097,14.118616979376773,Invierno,0.0,84.0,84.0,69.88138302062323,0.0,69.88138302062323
2025-01,Nako Melange,5614IM0D10098,14.980857299358032,Invierno,0.0,268.5,268.5,253.51914270064196,0.0,253.51914270064196
2025-01,Nako Melange,5614IM0D10099,11.892551900198445,Invierno,0.0,587.3,587.3,575.4074480998015,0.0,575.4074480998015
2025-01,Sport Ukryl,5256IM0K10210,31.42252245190048,Invierno,0.0,2.2,2.2,0.0,0.0,0.0
2025-01,Sport Ukryl,5256IM0K10290,50.06752227096796,Invierno,0.0,3.1,3.1,0.0,0.0,0.0
2025-01,Sport Ukryl,5256IM0K10386,13.58975604497702,Invierno,0.0,106.6,106.6,93.01024395502297,0.0,93.01024395502297
2025-01,Sport Ukryl,5256IM0K10432,11.774353754401366,Invierno,0.0,6.4,6.4,0.0,0.0,0.0
2025-01,Sport Ukryl,5256IM0K10465,10.562065079559527,Invierno,0.0,4.2,4.2,0.0,0.0,0.0
2025-01,Sport Ukryl,5256IM0K10575,18.760167243177463,Invierno,0.0,110.8,110.8,92.03983275682253,0.0,92.03983275682253
