Month,Familia,Forecast_Family
2025-05,Happy Soft Estampado,227.35168154648218
2025-05,Krehuel,869.9561292582812
2025-05,Krehuel Estampado,127.29126764144405
2025-05,Mandala,1290.196211263385
2025-05,Mosaico,507.182161858391
2025-05,Nako Melange,702.7799912945967
2025-05,Sport Ukryl,1339.5067261437332
2025-05,Super Economico 100 gr,9746.695504276464
2025-05,Super Económico 50g,1301.883355008428
2025-05,Terra,133.37382644495216
2025-05,Tiramisu,175.56662770071932
2025-05,Ukryl Estampado,1021.0177198754465
2025-05,Ukryl Etiqueta Dorada,11885.389822802674
2025-05,Vizon Anatolia,360.44691751188435
2025-06,Batik Soft,294.88335406594604
2025-06,Bonbon Classic,1786.673164869105
2025-06,Bruni,433.0110298149547
2025-06,Diana,902.1376861668516
2025-06,Extra,1757.7762985540053
2025-06,Glaciar,788.8964543874747
2025-06,Glaciar Estampado Ac,279.1199388876373
2025-06,Happy Soft,1018.9692008078857
2025-06,Happy Soft Estampado,227.09357553520604
2025-06,Krehuel,868.9684923735186
2025-06,Krehuel Estampado,127.14675742213213
2025-06,Mandala,1288.7314875560978
2025-06,Mosaico,506.60637212199134
2025-06,Nako Melange,701.9821448079384
2025-06,Sport Ukryl,1337.9860215867632
2025-06,Super Economico 100 gr,9735.630353217894
2025-06,Super Económico 50g,1300.4053632134155
2025-06,Terra,133.22241086659275
2025-06,Tiramisu,175.3673118140683
2025-06,Ukryl Estampado,1019.8585869879009
2025-06,Ukryl Etiqueta Dorada,11871.896671844834
2025-06,Vizon Anatolia,360.03771219823574
2025-07,Batik Soft,299.64608513330904
2025-07,Bonbon Classic,1815.5301473749496
2025-07,Bruni,440.0046937697852
2025-07,Diana,916.7083261358507
2025-07,Extra,1786.1665609108463
2025-07,Glaciar,801.6381083344908
2025-07,Glaciar Estampado Ac,283.62807129365746
2025-07,Happy Soft,1035.426814309828
2025-07,Happy Soft Estampado,230.76141779380362
2025-07,Krehuel,883.00340881801
2025-07,Krehuel Estampado,129.2003348904399
2025-07,Mandala,1309.5460958025153
2025-07,Mosaico,514.7886919245864
2025-07,Nako Melange,713.3200251043731
2025-07,Sport Ukryl,1359.5961515070962
2025-07,Super Economico 100 gr,9892.872830639197
2025-07,Super Económico 50g,1321.4085189973696
2025-07,Terra,135.37411765625922
2025-07,Tiramisu,178.1997109056427
